Accession_Number,Type,Status,Case_Type,Reviewed,Has_Attachments,Gross_Images_Stored,Fixed_Specimens_Stored,Submitter,Organisation,City,Date_Sent,Report_Date,Animal_Identification,Animal_Colour,Animal_Supplementary_Details,Animal_Number_Submitted,Animal_Number_Risk,Animal_Number_Affected,Animal_Number_Dead,Animal_Location,Animal_Location_Type,Animal_Location_Details,Animal_Breed,Animal_Species,Animal_Species_Common_Name,Animal_Sex_Classification,Animal_Sex_Details,Animal_Age_Classification,Animal_Age_Details,History_Details,History_Previous_Accession,Pathologists,Findings_Gross,Findings_Post_Mortem_Date,Histopathology_Results,Histopathology_Notes,Microbiology_Results,Microbiology_Notes,Parasitology_Results,Parasitology_Notes,Clinical_Pathology_Results,Clinical_Pathology_Notes,Diagnosis,Diagnosis_Provisional,Diagnosis_Morphological,Diagnosis_Comments
57561,Post Mortem,Final,Department of Conservation,No,No,Yes,Yes,Anon,Anon Org2,Dunedin,04/07/2019,08/07/2019,Hosp. ID 190588,,,1,,1,1,Sea,Wild,,Eastern Rockhopper Penguin,Avian-Wildlife,Birds - Wildlife,Male,,Subadult,,Eastern Rockhopper Penguin in hospital that was found underweight (post-moult starvation). Died a few weeks after admission after initially brightening up and doing really well in hospital he went downhill rapidly. A blood smear revealed Leucocytozoon within white blood cells. There was very high uric acid on biochemistry so he was treated with IVFT. Frozen prior to submission.,,Pathologist 1,"The bird weighed 1.83 kg and was in poor body condition, with reduced pectoral muscle mass and minimal body fat reserves. 
Deposits of pasty white material (uric acid) were present in the inguinal subcutaneous tissues.
The pericardial sac and interclavicular airsac were covered in a layer of slimy dull yellow-to-orange material with the later also coated in several circular fluffy light green plaques (up to ~10 mm in diameter). Deposits of pasty white material were visible from the endocardial surface of the right ventricular free wall.The lungs were diffusely deep red.
The kidneys were swollen and pale and contained numerous pinpoint flecks of white crystalline material (uric acid). Larger deposits of pasty white material (uric acid) were also present under the renal capsule.
The proventriculus contained a moderate amount of pasty-to-watery light brown material; the remainder of the gastrointestinal tract was largely devoid of ingesta/digesta.
",04/07/2019,"Lung: the parenchyma around several bronchi and multiple parabronchi is replaced by dense deposits of eosinophilic and pyknotic debris admixed with moderate numbers of fungal elements. 
Heart: extensive areas of the epicardium are covered in deposits of uric acid; similar coalescing uric acid deposits are present within the subendocardial myocardium.
Liver: portal areas contain increased numbers of mononuclear cells while large numbers of Kupffer cells contain haemosiderin.
Spleen: deposits of uric acid are scattered throughout the parenchyma.
Kidney: numerous individual and small groups of proximal and distal tubules as well as collecting ducts are replaced by deposits of uric acid and pyknotic debris.",,,,,,,,"Mycotic pneumonia airsacullitis
Visceral and renal gout",,,"The interclavicular airsac and pericardium were covered in a mixture of slime and moult likely representing a mixed infection with both fungus and bacteria. Fungal elements were seen on histology; bacteria were difficult to visualise, either because of freeze-thaw artifact or possibly this was a straight-out fungal infection. Small foci of fungi and inflammation were visible on histology of the lung. 
Deposits of uric acid were present in the subcutaneous tissues, heart, spleen and kidneys. 
No Leucocytozoon megaloshizonts were seen on histology of the major internal organs. "
44526,Post Mortem,Final,,No,No,No,No,Anon,Anon Org2,Dunedin,28/02/2010,Invalid date,None found,,,1,0,0,1,,,Brighton Coast,Erect-crested Penguin,Avian-Wildlife,Birds - Wildlife,Unknown,,Adult,,Found alive standing on a dog beach by a member of the public on the 23rd Feb 2010. When checked again on the 24th of Feb 2010 it was found dead rolling around in the surf with blood dripping from its bill and the body still limp. A large group of dogs was seen further down the beach.,,Pathologist 1,"The penguin was in the middle of a moult with approximately 40% of feathering still renewing. Frank blood was found streaked over the left eye. There was frank blood found throughout the oral cavity. The thoracic vertebrae felt loose and dislocated upon palpation.  The caudal pole of the spleen was mottled black with focal haemorrhage and the splenic tissue was very soft upon incision. The cranial thoracic air sacs were completely full of unclotted blood. The 2nd and 4th left sided ribs and the 2nd, 4th and 5th right sided ribs were completely fractured near the base of the costotransverse joint. The ventral surface of the lungs was wet and gelatinous. There was bilateral haemorrhage into  the lungs. Both lungs floated in formalin. The skin showed no evidence of puncture wounds when reflected but there was bruising present in the epaxial muscles overlying the rib fractures.",25/02/2010,,,,,,,,,Trauma to the thoracic vertebrae and ribs causing terminal haemorrhage into the lungs and cranial thoracic air sacs..,Trauma to the thoracic vertebrae and ribs causing terminal haemorrhage into the lungs and cranial thoracic air sacs.,,"The animal was most likely grabbed from behind at the level of the ribs, shaken vigorously which has resulted in fractured ribs which has in turn resulted in bleeding into the colemic cavity, including the air-sacs. The most likely culprit is a dog."
50733,Post Mortem,Final,,No,No,No,No,Anon,Anon Org2,Dunedin,10/04/2014,Invalid date,"""Dave""",,,1,0,0,1,,,"Blimey Peninsula Rehab, Otago",Erect-crested Penguin,Avian-Wildlife,Birds - Wildlife,Female,,Subadult,,"Unable to recover from moult emaciation. Arrived 22/02/2014, died 26/03/2014. Body has been frozen.",,Pathologist 1,"The bird weighed 2.285kg and was in poor body condition. Small numbers of downy feathers were present around the neck and the caudal adges of both flippers.
The proventriculus was moderately full of undigested fish.
No other abnormalities were noted on gross post mortem.",09/04/2014,Pending,,,Liver frozen,,,,,Emaciation,,,As you noted theis bird was very skinny- there did not appear to be any obvoius underlying disease process that would have contributed to the bird's inability to maintain/gain body condition.
51903,Post Mortem,Final,,No,No,No,No,Anon,Anon Org2,Dunedin,13/04/2015,Invalid date,"No transponder, no flipper tag",,,1,0,0,0,,,Otago,Erect-crested Penguin,Avian-Wildlife,Birds - Wildlife,Male,,Subadult,,No history provided. No flipper band or transponder found.,,Pathologist 1,"The bird weighed 3.83kg and was in poor body condition. 
The left flipper had a large open wound over the radiocarpal joint;  there was necrotic tissue extended into the joint there was laceration of the associated tendons. The joint was not stable and was able to be subluxated. 
No obvious abnormalities found on examination of internal organs. The proventriculus contained bile stained mucus and several peebles.",10/04/2015,,Samples collected; archived,,No samples collected,,No samples collected,,,"Radiocarpal joint injury with tendon laceration and soft tissue damage
Emaciation",,,"This bird had a severe injury to the left flipper, with associated tendon damage and early infection into radiocarpal joint. The emaciated state is likely due to an inability to forage proprely seconday to the flipper injury."
51936,Post Mortem,Final,,No,No,No,No,Anon,Anon Org2,Palmerston North,20/04/2015,Invalid date,68763,,,2,0,2,2,,,Feather Foundation Ex Otago,Erect-crested Penguin,Avian-Wildlife,Birds - Wildlife,,,,,"Presented to Feather Foundation several weeks ago with a severe stomatitis and mandibular osteomyelitis which resolved well. The bird had been at GVTS and died after a short period of illness on 17/04/2015, in similar circumstances to a Yellow Eyed Penguin that died on the same day (PM#535).",,Pathologist 1,"The Penguin presented in a good body condition with good subcutaneous fat reserves and a concave pectoral muscle mass over the keel. 
External findings: There was a 25 x 35mm full thickness defect to the right commissure of the beak, affecting the upper and lower beak and the skin immediately adjacent the commissure. The edges of the defect were smooth, darkly pigmented and healed. 
Subcutaneous: There was a gelatinous clear fluid present throughout the thoracic and coelomic subcutaneous regions, indicating severe subcutaneous oedema. 
Lung: The dorsal surface of the lungs was coated in a clear, gelatinous fluid, indicating oedema and the lungs were a mottled red/dark purple and leaked a watery red fluid on cut surface.  
Heart: The pericardium had a large amount of clear, yellow fluid. The epicardium had multiple regions with pinpoint haemorrhages. The endocardium also had areas with pinpoint haemorrhages and focal dark purple areas approximately 2-3mm, in the region adjacent to the atrio-ventricular valve in the left ventricle.
Spleen: The spleen was markedly enlarged with a focal, well-demarcated red area comprising about 30% of the spleens surface.  
Proventriculus and Gizzard. The proventriculus and gizzard were filled with a pasty green material, with partially digested food (fish flesh, tails and bones) and small pebbles. A clear gelatinous fluid was also present on the mesentery associated with the proventriculus and gizzard within the coelomic cavity.",17/04/2015,"Thyroid: Approximately 80% of the follicles contain variable amount of pale eosinophilic staining colloid. Capillaries are also moderately congested.
Thymus: Is moderately congested with multi-focal areas of haemorrhage, mainly within lobes, throughout the parenchyma and the subcapsular space.
Heart: There are multifocal areas of inflammatory cell infiltration both between cardiomyocytes composed of lymphocytes, macrophages and heterophils. In focal areas capillary endothelial cells and macrophages contain a single intracytoplasmic schizont containing many round basophilic merozoites, consistent with Plasmodium spp. 
Skeletal muscle: Low numbers of macrophages and endothelial cells contain intracytoplasmic parasitic inclusions consistent with Plasmodium spp.
Liver: There is mild sinusoidal congestion, with moderate numbers of Kupffer cells containing a pale brown pigment, most likely hemosiderin. There are multifocal areas of inflammatory cell infiltrates, predominately lymphocytes, plasma cells and macrophages surrounding the portal triad vascuGVTSre.
Spleen: There are moderate numbers of macrophages containing protozoal organisms consistent with Plasmodium spp. There are also moderate numbers of macrophages containing a brown pigment, most likely hemosiderin.
Lung: The interstitium is markedly hypercellular due to infiltration with mononuclear cells, predominantly macrophages as well as smaller numbers of heterophils. Macrophages occasionally contain intracytoplasmic parasites consistent with Plasmodium spp. There are also focal areas where air capillaries contain a whispy pale eosinophilic material.
Gizzard: Dispersed within the koilin layer there are single and clusters of gram positive rod shaped bacteria. Bacteria do not invade the mucosal layer.
The pancreas, proventriculus, intestine, kidney, adrenal, parathyroid, brain, ovary and oviduct were examined with no obvious abnormalities.",,"Spleen
No Clostridium perfringens isolated
Light growth of Clostridium species
Scant growth of Escherichia coli
No Salmonella isolated
 CASE NO : P1500
Plasmodium elongatum found on PCR",,,,"Cytology: Impression smears of the spleen and liver and a bone marrow smear were examined. All sections contained high numbers of intracellular schizonts, consistent with Malaria (Plasmodium spp.).

Plasmodium elongatum was detected on PCR of formalin-fixed lung.",,Avian malaria (Plasmodium elongatum),,,"The gross and histological findings confirm avian malaria; Plasmodium elongatum was found on PCR of the lung. This bird had similar gross lesions to the Yellow Eyed Penguin, PM#5135 (hydropericardium, cardiac haemorrhage, pulmonary oedema and enlargement of the liver and spleen)."
54321,Post Mortem,Final,,No,No,No,No,Anon,Anon Org2,,07/03/2017,Invalid date,ACP1XB,,,1,0,1,1,,,Tahakopa Beach,Erect-crested Penguin,Avian-Wildlife,Birds - Wildlife,Male,,Juvenile,,"Found emaciated and weak 3/4 way through moult on Tahakopa Beach. Was trying to re-enter the water before finishing moult. AdmiWed to hospital. Weak, unable to stand unassisted and unable to lift head.
Very poor BCS (2/9). Black, tarry diarrhoea on admission. Improved over the week with feeding. Wound noted on right elbow. Started suppor^ve care - IV fluid therapy, IV an^bio^cs and small amounts of A/D to prevent refeeding syndrome. Made small improvements over the week however started to deteriorate and succumbed to starva^on a week after admission.",,Pathologist 1,"At time of post-mortem examination the birds weight 2.9kg and was in emaciated body condition (BCS 0/5). An Intravenous catheter was placed in the right medial metatarsal vein. The bird was in an incomplete moult with feathers retained around vent, over dorsal pelvis, along the trailing edge of both flippers and around the head. Replacement feathers were of good quality. There was significant staining of the feathers around the vent with green urates and faecal material. There was pink/brown liquid food material in the oral cavity and around glottis but no further down the trachea. 

There was no gross fat stores visible throughout the body. All subcutaneous fat stores were replaced with liquifying straw coloured gelatinous material. Within the right caudal thoracic airsac there was a 1cm diameter flat slightly raised white granular lesion with surrounding prominent stellate red blood vessels. The right testicle was black in colour, but otherwise normal in size. The proventriculus and ventriculus was distended with a large volume of moulted feathers and a small amount of the pink/brown liquid material that was previously noted in the oral cavity. The distal gastrointestinal tract was significantly autolysed and the contents were scant and various shades of dark green/brown. There were no other abnormalities noted.",07/03/2017,"Lung: there is marked congestion and small to moderate numbers of haemosiderin-laden macrophages are scattered throughout the interstitium.
Liver: very large numbers of Kupffer cells contain haemosiderin.
Spleen: there is lymphoid depletion with increased proximity of sheathed arterioles; moderate numbers of haemosiderin-laden macrophages sare scattered throughout the parenchyma.
Bursa: diffusely follicles are markedly shrunken with medullary areas replaced with aggregates of histiocytic cells, hyperplasia of the reticuloepithelium (often with an outer rim of hylanised collagen and with cortical areas being reduced to a thin strip of lymphocytes.
Sections of thyroid gland, heart and kidney show no obvious abnormalities.",samples of coelomic organs preserved in buffered formalin for histopathology.,,,,,,,"Emaciation
Early focal mycotic airsacculitis",,,"The body was in a state of advanced emaciation. The fat stores usually visible around coelomic organs and within the subcutaneous tissues were totally absent, replaced by a liquifying gelatinous substance consistent with catabolised fat. There were no indications on gross post-mortem or histological examination of an underlying cause of the emaciation. A failure to forage effectively to reach a significant pre-moulting weight increase appears most likely."
54523,Post Mortem,Final,,No,No,No,No,Anon,Anon Org2,Invercargill,03/05/2017,Invalid date,None,,,1,0,1,1,,,Muttonbird Islands,Erect-crested Penguin,Avian-Wildlife,Birds - Wildlife,Male,,Subadult,,"Found emaciated and with injured foot. Given fluids, AB's, pain relief and radiographed. Given the poor prognosis the bird was euthansed 29/04/2017.",,Pathologist 1,"The bird weighed 2.070kg and was in very poor body condition; ~60% of the plumage were old, pre-moult feathers.
There were multiple small healing abrasions over the dorsal surface of the digits and metatarsus of the right foot. There was a 40 x 20mm skin and soft tissue defect and replacement with thick brown crusts over the dorsal and lateral surface of the left metatarsus, immediately distal to the hock joint. There was long (50 x 20mm) elongated rectangular skin and soft tissue defect and replacement with a plaque/core of dry soft yellow debris over the posterior aspect of the right tibiotarsus.
The right tibialis cranialis tendon was ruptured as it travelled over the hock joint; ruptured edges were not swollen.
The right hock joint was moderately swollen and most of the articular cartilage from the distal tibiotarsus and proximal tarsometatarsus was absent and replaced with dull red friable material.
No other abnormalities were noted on gross post mortem.",02/05/2017,,,,,,,,,Euthanasia due to emaciation and severe injury ad infection to the right leg.,,,"This penguin was extremely emaciated due to large part to multiple injuries and secondary infection to the right leg. There was a large infected wound to the back of the right calf region as well as a marked osteochondritis (likely bacterial) of the right hock, with extensive cartilage and underlying bone involvement. Euthanasia was the humane option."
55384,Post Mortem,Final,,No,No,Yes,No,Anon,Anon Org2,Dunedin,12/01/2018,02/03/2018,Transponder,,,1,2,1,1,Rehabilitation Facility,Captivity,Bird Rehab,Erect-crested Penguin,Avian-Wildlife,Birds - Wildlife,Female,,Adult,,"This bird had surgical repair of a chest wound in September of 2017 and was doing well during her rehabilitation beofre being found dead 11/01/2018.
Transponder X82000667833720.",,Pathologist 1,"The bird weighed 4.076kg and was in good body condition.
There was a ~30 x 40mm rectangular area of alopecia over the left cranial pectoral region.
The pericardial sac was distended with large amounts of clear straw-coloured fluid. There was severe multifocal to coalescing epi-, myocardial and endocardial haemorrhage.
The lungs were moderately reddened and oozed frothy white fluid while the liver was slightly enlarged, pale and had an enhanced reticular pattern.
The proventriculus contained a moderate amount of partially digested fish.
No other abnormalities were noted on gross post mortem.",12/01/2018,"Lung: throughout the parenchyma there is marked congestion as well as patchy areas of hypercellularity due to infiltration with macrophages with fewer heterophils and lymphocytes (many of these have pyknotic nuclei). Small numbers of macrophages contain phagocytosed erythrocytes. Small numbers of Plasmodial organisms are visible in the interstitium, residing in either endothelial cells or macrophages.
Heart: there are multifocal areas of epicardial and endocardial haemorrhage (adjacent cardiomyocytes appear within normal histological limits). These areas are accompanied by a mild mononuclear infiltrate while small numbers of Plasmodial organisms are visible in nearby endothelial cells.
Liver: most portal areas are infiltrated with moderate numbers of mononuclear cells (including lymphocytes with pyknotic nuclei and small numbers of granulocytes. Plasmodial organisms are not readily visible. 
Adrenal gland: there is a subjective increase in the amount of cortical tissue. There are several small aggregates of mononuclear cells within the interstitium.
The spleen is somewhat autolysed but Plasmodial organisms are not readily visible.
Mesenteric adipose: there is multifocal haemorrhage and patchy infiltration with mononuclear cells; within these areas Plasmodial organisms are often visible within endothelial cells.
Sections of kidney, ovary and brain show no obvious abnormalities",,,,,,Plasmodium Spp LINN1 was found on PCR of FFPE lung.,,Generalised infection with Avian Malaria (Plasmodium),,,"This female penguin had severe haemorrhage throughout the heart muscle which has resulted in accumulation of fluid around the heart (hydropericardium). This fluid prevents the heart from expanding/pumping and is the cause of death. 
The cause of the damage to the heart and other internal organs is the protozoal organism Plasmodium (aka Avian Malaria) which was confirmed on PCR of the lung tissue.
This a real shame has she appears to have been doing very well in rehabilitation; she was in good body condition and the previous wounds were healing well."
55452,Post Mortem,Final,,No,No,Yes,Yes,Anon,Anon Org2,Dunedin,02/02/2018,30/04/2018,,,,1,1,1,1,Coastline,Wild,Hokitika,Erect-crested Penguin,Avian-Wildlife,Birds - Wildlife,Female,,Adult,,"Injuries consistent with possible barracouta attack. Severe tendon damage R foot and suspected nerve damage with no withdrawal/deep pain on medial aspect of foot. Dragging and knuckling foot with limited ability to rectify. 
In care for several days on anti-inflammatories and antibiotics but was euthanised after no improvement seen. 
Hospital ID (Noplace Animal Clinic) 0137. ",,Pathologist 1,"The bird was in reasonable body condition with a body weight of 3.8kg. 

On the right leg, there was a 2cm transverse skin laceration at the intertarsal joint on the dorsal aspect. This had lacerated the tendon of the cranial tibial muscle near it's insertion point. There was a second smaller laceration on the dorsal aspect of digit 3 over the interphalangeal joint between P2 and P3. There was also extensive congestion and haemorrhage underneath the tendon of the extensor digitorum longus, however the tendon was intact. 

The left leg had three oblique skin abrasions over the dorsal aspect of digit 3, with  associated regions of localised haemorrhage of the tissue medial to the cranial tibial tendon. The entire tendon was intact. There was also one laceration with dried crusty brown discharge over the interphalangeal joint between P1 and P2, with mild haemorrhage locally but no damage to underlying tendons. 

There was also a full thickness skin laceration approximately 2cm long with dried crusty yellow-brown discharge located just above the pineal gland. There was a small abrasion to the underlying pineal gland with a small amount of yellow crust and haemorrhage, however this did not extend right through the gland. Just proximal and parallel to this laceration was a second laceration of the skin. This was a partial thickness laceration with similar yellow-crusty discharge and was approximately 5cm long, that had no associated trauma underneath the dermis. 

The lungs were moderately congested with dark red fluid. 

There were no other abnormalities noted. ",02/02/2018,,,,,,,,,Euthanasia due to tendon rupture and neurological deficits (right leg),,,"Rupture of the cranial tibial tendon (right leg) and possible neurological damage limiting bird's ability to feed, swim and walk normally. It is suspected that these injuries are associated with a predator attack (eg. barracouta). "
55654,Post Mortem,Final,,No,No,No,Yes,Anon,Anon Org2,Oamaru,27/03/2018,27/03/2018,None,,,1,,1,1,Rehabilitation Facility,Captivity,,Erect-crested Penguin,Avian-Wildlife,Birds - Wildlife,Male,,Juvenile,,Picked up going into moult at 2.8kg on 07/03/2018. From 16/03/2018 onward fed salmon smoult/fillets 250 grams BID. Almost ready for release when found dead 20/03/2018. Frozen prior to submission.,,Pathologist 1,"The penguin weighed 2.70 kg and was in poor body condition, with reduced pectoral muscle mass and minimal body fat reserves. There were a small number of downy feathers at the base of the tail.
The proventriculus contained ~200 grams of semi-digested fish.
No other abnormalities were noted on gross post mortem.",23/03/2018,"Lung: there is marked congestion.
Heart: there is prominent myocardial congestion.
Liver: numerous Kupffer cells contain haemosiderin.
Spleen: small numbers of haemosiderin-laden macrophages are scattered throughout the parenchyma. There is lymphoid depletion with increased proximity of sheathed arterioles.
Sections of kidney show no obvious abnormalities.
",,,,,,,,Emaciation,,,This was a young male penguin in poor body condition. His body weight at post mortem (2.70 kg) was slightly lower than his weight upon admission (2.80 kg). Histology of the major internal organs did not show any obvious signs of any underlying disease; there was no indication of an Avian Malarial infection.  
